C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,nonce
-878671196,1051543197,-1646772978,2121303579,1821876204,-65748252,981665354,485329000,89627
-300296454,-969248145,1084070143,-1555141636,-595845227,-1018969306,-484030740,-1510171241,89628
-540813089,-1458414890,741237488,1396242456,420471142,-1024916874,-1327095377,-580583164,89629
-1453143504,751593761,-2141025436,-1207275244,-509457967,-171491925,-1960818881,1705025644,89630
272046596,1126135983,-1640650955,-244016222,439191895,-960120369,1221129092,-1042946631,89631
-113913825,1692115110,1898597888,597600527,-1092386906,-685552888,-233933676,1929203320,89632
-639073396,-1661052111,-1562027835,1749750373,-1901748420,-118951712,835096079,-835102137,89633
665997987,1313173127,-328685875,-1514110965,-1723626762,346626379,19457748,-828046539,89634
-1585853798,583769284,199670237,-785469274,2112788117,239817957,740942780,-1843332969,89635
-1805371546,990608357,784026075,-1446073544,-1820393292,-785668701,-1227788132,-1653837128,89636
759428910,1866587767,1031918112,-1250158853,420407403,1905396589,-246311750,1319089062,89637
861732767,-1792738620,-992268290,-366230922,-2145603150,-1906648183,776697386,297426536,89638
-923052440,-272562176,-2036678316,-213390271,1518232685,600191335,51194642,925483367,89639
753898169,-1793650725,-285652252,1257345341,-65877206,-571596405,1506471344,-1687873244,89640
497937786,-1917599021,-564572485,999611231,486295653,1382715672,1032094230,1966981642,89641
2042965111,222310521,-1224097813,-26901082,661180127,257845369,950891549,-1871510910,89642
-1201047239,-2125463826,-516969868,2115291806,-2091077804,1619393283,-841686891,1860583844,89643
-91650867,-1884666732,1404839678,1268694242,552904492,281526879,1958552247,248690272,89644
-1334738416,-1268069384,1034463300,993597127,299759531,750402179,1464694494,-1551873658,89645
731848723,503705130,-1002038342,1340469462,-670773970,1382918945,-145120986,-1451010105,89646
-1242734457,455294928,-119930729,-887883537,932470732,287493491,-1420952414,-1939967801,89647
308266773,-1073190779,714417534,-1711348688,925643714,1017956959,-1113071827,-1694397684,89648
734739016,1549356631,-735484424,-499289565,-1517586714,1179617381,1715271907,-1140062139,89649
993018913,1092206695,-1842979646,-1459892166,-833693602,-233403844,-2142230970,2116559012,89650
1534511359,-1151553632,-120846735,166277343,-398085718,1733669930,-1467108781,-168164226,89651
-1369871972,-1409982179,-147838249,886044738,1832356386,770940820,-403600731,-1916387239,89652
-1827640949,529558278,-713310683,112709513,-804029121,1531922889,707554631,677294286,89653
-1001271935,1420077474,-143002299,-813658336,-578354816,1296080045,2005396075,-1935807709,89654
-1527047487,-1882187259,-603986700,982704248,-1505192441,-1076281599,-878185975,1712296986,89655
-1407673198,1277707516,-1791519753,1084717039,1100251922,692848222,-203458275,85295575,89656
996697752,-1852240339,1774997846,1884594780,772270786,1592773683,-1448711463,-2050728561,89657
-1376165628,1792646368,709492984,-694739289,630316711,-607462565,1376210844,-634904477,89658
2139090285,1414243492,623846549,-1876014850,1867403417,26613535,-502034774,-96159192,89659
1763654046,2122212413,952900980,-1647657871,-363155313,1021677117,-1130011595,96808368,89660
1259274967,-2042251269,-1383215623,1386779324,1755463122,237462924,-1100550189,401373574,89661
-374965503,1018310345,-919838039,1057877785,-2050265016,1356006321,715055941,1161588949,89662
201762314,-1112484667,-455437993,1813871565,1326167180,125419591,1708307724,1624697472,89663
927595468,289650650,-1016354025,1604674488,-910695773,7323983,1376398846,-1790052534,89664
-1968052706,1074664154,1542170661,-1228440655,1678251998,1102007098,-1644584068,1234907115,89665
704923285,1447931522,1615658567,-1834510361,-980933283,-1337847573,205684276,-2132920115,89666
1572046675,1572865239,-2142074893,831782445,265826519,-992072681,-182698224,608065957,89667
-687302416,362683693,-1107079175,1616166414,-1821828195,835549988,-655483058,143107071,89668
-1962586064,-122818158,-5636407,1253917444,-63538240,-1848973421,1512471598,-1467042171,89669
-80467882,-1192356305,-1998165198,1932290961,-299400220,111742991,1244187184,-420691619,89670
1204949455,-212224765,-198625154,-800031198,-532680994,1308138002,-1562909148,1439487601,89671
-1546293628,1932698728,-212720451,279501502,-1586766025,-1785288140,1834609836,-1329241684,89672
-1132279243,308800080,-1509937198,567457888,859261685,-1607656593,1391709600,-1315270169,89673
2050147971,-703670881,-971095802,1605504961,-1905663390,240175515,2021282231,-2083415000,89674
-1051175094,-910407736,485802250,1600177495,-788180217,-1748201937,1461349535,-415394661,89675
-391573283,1445498049,1338598965,922323612,2023292785,-1631754201,1788518429,-895123132,89676
-266212677,-1768478970,1212566115,3639013,1259606250,-1621776980,1192269487,1997965347,89677
2130154393,1428981687,916258689,-1086045914,-519277237,1995336391,1149560679,1393854868,89678
426035419,1893209657,1853438252,297466005,-1822798846,1187053380,1583160220,-1293096423,89679
-1371028531,1194681206,965563037,2123201875,1085003026,1115852447,2140213933,2087899664,89680
-1164138786,-1517487588,451271298,1598027938,-1860930121,-1502058256,-2028408431,1481401105,89681
-527963781,-453809759,1200280152,-721620813,601075599,-783010016,27511295,-719322748,89682
1503655791,-1684053076,-1728538156,197110893,340853126,-709530918,1110233543,-2021844859,89683
-1136742749,-1329086924,-629773568,-1206031838,-1970550077,-2002154700,626687743,-43157014,89684
-92104415,-1750926330,-1661984015,953468833,752346828,1904117232,-1838283049,-116471421,89685
1821707487,1124985946,-1943674638,-1758527248,-1151409768,-1330735653,-1770016257,1435543050,89686
721781728,-663683842,-1607195097,622872268,715883751,2029434540,-574844643,-44074084,89687
1667635146,-126119623,1766700503,902998461,-1927795884,427398272,1063241669,-638664056,89688
-697606795,-143795279,-2051600871,200355829,804836580,-1284663952,1202540294,-910453618,89689
1892226170,-996645733,890498367,1637006225,-1166404299,730247721,1688085922,1560997828,89690
1274632168,1692778019,-1677101720,-633212324,-1344864158,-441949835,-77093569,646435963,89691
615338127,1436475155,-1955657969,-1092325272,399967770,-2106167265,-1821725122,190862083,89692
1064401714,-1751475956,-1235595358,45338169,838619461,-415762589,810470234,-85679214,89693
-738749563,1470088717,832467732,1181057498,1221247605,510395923,451798351,1452178391,89694
-657485433,329131848,205505548,1160966870,235639790,-881911819,710851151,1978879703,89695
-1127338715,816589682,1515396827,1615377082,159719735,1238140424,-126980196,-1278381900,89696
533773877,1405813011,1851988559,1370097402,-22673475,-1538520019,-1470442732,-980821019,89697
-1425107785,-1166494477,-1714558867,348553508,1291537834,1914912220,-278804743,-590345694,89698
-1754510465,-1666715993,-27773371,588012148,1423714612,-1352082938,104838303,-898389425,89699
1466980328,1519731720,333604526,1529492073,-26436700,375146380,850945081,1983931165,89700
-518145685,83171229,-323631104,114670788,-1014613833,804394139,726298034,-1486592525,89701
-1046066638,-1443220849,1487350404,-723561780,-1298086024,-164620090,1959116922,906776816,89702
176117693,437271408,1710398966,-1013349801,-305900730,-2021034422,1017433958,-1206465183,89703
230693368,97705152,2062814021,997589287,432803540,-2019122857,-139422302,-1194002834,89704
1471031174,990969524,1440574610,205021026,958768241,1475013906,5731975,1708057798,89705
561292546,874384722,783708243,1902404433,-143022917,1270651708,-1740692904,-571926530,89706
1757903230,-872661222,445836220,999915337,-1469126874,-44436290,460374696,1986846166,89707
-1232893024,716069596,732616542,2146121384,-884620768,-87172044,-1759334620,558331210,89708
1532363210,-445089065,-1340234430,-1774493825,1616212770,-356588026,-1249689116,-1927419881,89709
783086734,-135866145,-147723841,-472932315,-1990673634,235461601,-679637088,-528318677,89710
1100397746,-158091958,1439189121,-734924229,1735369740,1628886506,1157729913,1894700738,89711
1318094157,1650545172,-1797324583,201322477,-834224068,-250775550,-1161734953,1417822458,89712
-737604717,743218672,1595970115,-71085405,1817790770,-119771028,618914219,-1781665016,89713
1518141166,-882612698,2117090154,-130389775,-815172550,1420631943,221670536,-720011340,89714
-262083714,617794776,-1119889202,2131206213,974391413,232923380,224962152,1017905251,89715
267603930,-142092025,964268903,2123856090,1787355620,-995539767,-1295430017,-1532631017,89716
-1923127605,294952579,-1935200909,1833555856,-1726859926,-1225498418,1180839702,1786729408,89717
1671253975,1579928820,1901342706,1589598196,-1555570206,-2118819643,1019902963,422310250,89718
1080451934,-1373715393,-1601278713,484216348,-238594527,698948887,-1670858742,34526612,89719
1632640773,179785760,1144291780,1603315022,2119880229,41870946,-703100592,-823045631,89720
-1099401338,1741614540,-1202917297,-1618233995,6145942,725742888,389037386,1419016148,89721
-250961920,-568878058,594410649,1930135536,584884507,-1423061163,947401683,2039345303,89722
-1729125578,-1894024382,-345347508,-954636798,1987527786,956928363,-1605452178,-742507627,89723
-1409841751,100609272,332668310,-1630968391,-1174684778,216478514,1403600911,-1303240040,89724
-1212349551,2013976681,1680955798,708795245,37267151,-2032781813,-232050741,-1404944725,89725
1055128958,1389294192,-1195542478,982607069,-1370943335,168718931,-2042278246,1494126184,89726
-48809258,984110267,-1650607585,-2093818570,445500095,-1130443859,613906850,-238172563,89727
-404789279,-468511793,1136347075,988663776,2146006792,967505346,1314534093,1077724346,89728
-913323807,-13852373,519962709,33984542,2042474665,-2019123314,-1738176797,-1992761039,89729
-1317025343,-1144319964,43441016,1288916684,-1821904227,-1048099667,1092602135,-255622630,89730
-2069163848,192997536,421639141,-1997562966,-223273518,-835322684,-1981969806,-481219230,89731
-1072145247,525630807,-1889430758,1329612905,-1812498430,1761315954,2083727933,1913069883,89732
-1933986077,-2131639887,2086035747,-1761384286,-1708556438,428082771,-992709108,875809633,89733
-1727231418,-203023772,1724106690,307413933,1039670731,2115068684,-846528441,-1358261188,89734
1809270531,-473826805,5274099,-758338491,66197399,-1423536194,868932897,26525833,89735
391662728,-1564325140,-1687308749,-2099060128,-162773567,-1639549289,503495852,1272916172,89736
1238856967,600882905,1210253746,-197598600,1484933257,-1164824847,579718134,772636039,89737
-500661741,-732234157,-766205509,459398748,-940996502,879227147,1547981161,-1858091361,89738
134161090,384221290,-889644630,-1695230932,-988362535,-1734938397,464963430,1804635570,89739
479981294,-1417736773,-31121276,-77209045,1092683368,-367992058,594341302,1389054499,89740
-1847458958,-203917545,628673881,490075308,1251371387,-1080688474,-642032347,-587675970,89741
-1806821361,-1835241552,-889693633,-1688005731,-510240646,-405649734,621899129,-1623570815,89742
352943199,2001085503,-1801772545,-317524584,109797521,-807687648,-290754040,545736582,89743
1168504417,2050460498,1831782497,-1268544649,-1805232629,-25369922,-669276969,-1158320467,89744
1439082030,1155716568,-411092147,-510169941,1293159909,1864891544,-631000262,836524297,89745
-819610468,-220846808,1762001869,1770909482,1752563013,-93473356,2051828706,680904340,89746
-189361773,-1721605520,-1644320859,-222905062,1196968784,-968336298,-1224210241,2134602745,89747
747183440,836488466,-551705096,-38186079,-138263139,1173963339,-1688709930,-1894656119,89748
2052796440,-235324650,-78790816,1866326172,-1720973375,-387456715,1541260662,1137097543,89749
1759041131,-417476742,-1388264495,141225501,1589434528,1626848342,1371050410,-1397260440,89750
1880811480,2120752694,1435491536,-1580741201,81272301,1025035220,-385064343,-1581877454,89751
214108537,-1120402325,1197206446,-1118109203,708334452,1478585447,-1595493167,-852609848,89752
363279894,-1468121402,257115499,1892549987,180614035,-1573258628,-532454447,-747080611,89753
805688338,531906872,-1537985660,1287020993,-927792865,-2008673754,1865720649,383057320,89754
550620896,741434688,1939134197,-626383688,1902422047,-362279132,1437244568,-163423738,89755
274042068,333366248,-1815247305,73566972,-607600029,468036456,615025194,1779812616,89756
-1549091161,-301106785,-362036340,-476662073,-275476007,-160355750,46501961,-1318996260,89757
530006029,832269414,1262439707,530239169,1037874074,77659737,-415395296,-1323903869,89758
-202091847,-2010076122,-115284817,-1399829172,348866319,-193285166,1464445845,-1235533415,89759
506182282,1690418597,1819790431,421545183,-1871324819,1618859881,1640798,-255236237,89760
-1592186823,668855187,-734298737,980067551,82040671,1437895063,1487417910,627891846,89761
-114731762,-199618604,249779862,-573594472,-1781869258,1427397539,-797429449,-1093664378,89762
-1287606796,-781554206,852319244,520967629,-225666029,-2114545215,-1972330340,1216192830,89763
-504855111,1261362096,700601121,1221503409,1659712346,90719915,-796174059,-1663107747,89764
-289472715,1875641903,929368035,1857696785,1467015779,-978114166,1189805516,-126171285,89765
-1026300566,-425094432,729908887,-598175487,-178429165,-1917510719,-79810976,-1294902329,89766
-1169050464,-466391721,-1679248442,-1310599194,601336943,-766998495,-2133074154,1309268068,89767
-1775877018,1482752951,629555185,-1100736145,1960757586,-2037463571,982841787,-345696638,89768
-1560924013,1751341811,-1233852657,1056647852,1997410501,-1297784644,770096933,-2143923631,89769
1095905437,153734483,-1485768447,-1215806380,828750024,1119201369,2136433076,1155563858,89770
-1301166636,1377850514,-155393830,-1060732251,-156495260,1169738156,1131036282,-1251285619,89771
-1316914233,1157730870,-1025184432,-1248067262,-2006355695,-128284623,-1265406606,-2086918400,89772
1804647113,1421996964,1703601356,-1666985498,-76211938,-1439300578,1809619571,1926131253,89773
-840143613,-896366903,-495830395,812211720,-386638671,-1874429347,-2025832587,160228907,89774
-1886083107,1737016796,134725229,-636105306,249361432,-947275036,-532186323,758550504,89775
-1600377254,641699870,425453481,637864159,486307650,-753743838,851039603,-381552136,89776
-2127002661,219863316,1002287584,923617843,1444592401,-1041985183,237487777,620472655,89777
-121927821,1058412345,-680240681,-552831738,1345598890,1144674392,-1348000373,1696813082,89778
376079165,796237371,2084950128,396888045,774917746,-1323284952,1693837120,-818510617,89779
-1539246656,-1542329393,-1742357009,-1241244158,-102937078,1283180698,-277668673,1857791798,89780
1209234174,1185336371,-101216512,1200803244,1429552740,-2122132068,-28763188,-1497428795,89781
-1748732338,425662162,-711507196,-222842739,-676362956,1346780005,-500019814,-776637376,89782
-1488727276,-1634282679,-1790949114,1071342283,1390217721,-1905783373,-756802701,-1108702729,89783
1748785110,1399970634,1944244831,1874551149,-592716535,-429929965,576891038,-1960815351,89784
2075924264,-1484734530,1914603168,619818696,343259966,1897779369,-1339885508,338987444,89785
1329056959,-930357129,-1260283793,-365164619,-414713097,-1642826627,1079082305,1393687844,89786
1980161165,1040726678,1283251511,580940154,1726747251,1233075655,1674015153,1100129948,89787
1572430777,52927192,-864677086,1373233823,1223667211,-962071341,-2029057112,-1454175400,89788
1466611447,712769066,-25294296,-181110903,1200282461,678173923,1542506731,-639071215,89789
162761198,1869007789,1169792567,723052141,480322001,-313646895,1130691763,-1810645220,89790
1274151970,1192138545,1946971161,1190908363,-1432214790,-1952977341,-325293654,-1764782973,89791
199002410,430572028,-805102188,1942867242,-1239392965,789095676,1305018323,-969592600,89792
-838215487,824507839,1674679807,-1333899928,-685243964,167307836,1815627001,30023747,89793
1898219078,-1335532284,1848175773,664173415,1800358116,-134273398,273265395,-1801300432,89794
-1610056716,-869860047,1296968848,-1239567773,867970681,-933022135,-556946074,1966921503,89795
1350846925,608349401,-1227576383,1597761234,12468612,243115988,-1394664684,1266850563,89796
1098682004,-438750886,-161991995,1379586563,-1008014152,759528721,682184869,125341294,89797
-3556431,2049531258,1453144044,-1916088284,-521980720,-1477437340,1615879888,1023154393,89798
682523246,1131240524,711732577,-579626270,1429750467,-473419677,1797383640,-150780435,89799
-61559747,-1464564517,799347622,230696335,1586738172,1857481085,578884359,-1825266248,89800
-1215137173,-1683771912,1323424082,-2021324926,-1877524776,78599695,-112140938,140773600,89801
2009285872,896850082,-524841124,1430688716,515468853,1894886254,1334170154,1545901296,89802
1375324121,698708271,-849873929,1868257001,559342863,383396274,-1958664071,1989686435,89803
-1766282782,1095612488,1844274718,-1429650940,865478506,-873943038,-1749776772,1561215407,89804
-139452976,-1814187826,1104487196,581185515,1291099725,655676510,-911290901,1330899523,89805
-1492009982,-254048377,824272055,-1534592907,-337263814,-50051595,-667392880,1735879368,89806
41313526,-280840854,923207457,-2042188485,-725628005,-694321722,-1105924344,477939754,89807
-1770838048,137455,-2023076142,1810905889,-1586409867,-846920491,2134683558,-68861543,89808
-460076047,-1381275920,1420185004,1660220897,1022775798,1539557829,1636603263,-922111571,89809
-1136741799,-1059712169,-170928047,533318739,-579157999,1953041134,1852406957,-2093912694,89810
953047164,-619966671,815938660,-978315085,-713524420,-1808364054,-823227392,-960071719,89811
389782363,397207595,389322337,1531228060,-477209630,1322276478,1727106967,714755739,89812
-980526698,912095585,1884000659,1099639980,-105085718,1244286826,-1251506622,-598729267,89813
-1463003357,-178201412,-1052098981,-397163097,1424511217,1950268697,1562856473,543682428,89814
457674521,1777908028,1371942299,206169371,410642956,-178524953,1509731689,490809254,89815
546615033,645068667,-556026254,-2124856080,-1703670907,-1943082853,1689005395,116577843,89816
-697062801,696461957,-1247468524,2134552095,-682815202,539417256,-2103407380,1563397969,89817
1420459883,-1716037487,-2042500597,-1727667656,956436616,527620650,1554244453,444956599,89818
-737842549,1794288996,148204491,803391185,985991533,1578150841,-1499968337,402899320,89819
-622987435,-1155148660,1918166674,1595278778,1343259398,-2107030516,653948278,450119689,89820
-151326977,-1356086847,1518635629,1083930219,1582670483,-1978148174,-1317216774,-528817677,89821
-1538433455,1871093690,-214237285,-134669721,2100664545,-556949638,414961619,-1180058773,89822
1186543600,1898084677,1980534867,-544412934,-1040671050,479609455,-155985531,-10574772,89823
1161983999,1489343178,-86591705,2137330753,-1550324848,-98637171,631850903,-142664840,89824
-48344487,1399960772,-1716356732,2072008287,1475132003,-1980037150,-1023866425,1804744322,89825
838708138,-1646229093,1297842981,-1106471887,-37278750,1556311505,2003439296,-953034181,89826
1367895883,1018967233,1163548346,-1784769295,1799316301,-520238413,1112696291,-2080098034,89827
840238289,-1214115924,-11461476,-504093218,-15967986,554729203,-1179492112,-1882131330,89828
1685702193,-1087442421,-289838587,554006415,1536184828,-128401742,-1479932476,-2095576325,89829
-1594095434,831054279,-161875948,-1612893902,847882326,-425658683,-474590189,-61776010,89830
-384696703,-189574106,1430433785,-783194540,491461668,482539393,2070888760,1851254424,89831
1059016736,-453165681,1461082836,248755768,220711117,1477084255,-2104321789,843268061,89832
606172801,-1991031384,-177765506,83865770,95089547,-956111613,-20868435,-1619849341,89833
759757310,1228564662,597393877,659401961,-922855819,43126347,1594498318,-263033910,89834
325998624,-455198622,1601134690,102423749,-1535733218,-604518523,-771559475,-1286974124,89835
-845299662,1634537373,1664240536,-772073645,818385179,-111018795,-1184949431,124204178,89836
-538252394,561393212,1300938306,2110827949,-868537131,1072400162,-413574504,-571671776,89837
-351786482,1827830665,533334062,1505497240,874365161,1525435818,1119103832,1524318396,89838
100308818,690776640,908752754,367478867,-157932944,556879318,-573254561,-1330505444,89839
1309245006,479558901,2058699793,-1137010168,-236330588,11788046,1249204517,2079358533,89840
-946824829,1929094662,1711674203,598299994,551293996,-1946270742,-858799029,2020442348,89841
1202008445,-377104137,-229999337,509375636,-1048231434,347191105,-1906798014,1033631813,89842
1213854361,-1267070391,1399810835,950841234,727833407,1611495978,1531175547,-1656730787,89843
539108503,1913390756,-1051722304,1268818554,-1533743290,-1168650996,1806939957,131937883,89844
-1453337198,-844511452,1534201853,-2085451099,906324522,-1240802288,-271330047,-762678577,89845
870325,1111556986,-1736408658,-417595935,-19086226,443158157,-1698037227,-853977022,89846
-571134514,1664392669,156583808,1377782892,-106124181,-1305321298,1208386234,1100398318,89847
1652310884,846902955,-1222822051,-945732079,-1315027152,221657486,1088447219,-1532766487,89848
-1932730923,1353147402,-1272366851,-990417731,1066920350,151676260,-1813661264,-1462738824,89849
-1168290611,-42609435,1579951929,278786178,990048675,982032274,929494250,1508083636,89850
-1565640343,-2119916496,1627939526,-97857283,-425457157,-1586229279,-1706317168,437054649,89851
-1061253067,546022021,1982172685,-813665783,1347466015,-495412044,377548079,31311015,89852
-318124654,1784601545,999321240,-890119107,-462519315,1325894365,-747211900,-2010306614,89853
-1997371601,-349704828,2098476235,-596085292,1155696079,605307036,335022479,215429720,89854
-1997615590,1726842319,1418379433,675100512,-1687323874,254392031,-1201493046,-2050636180,89855
-1952378222,-1236740035,733862961,929130624,-1397232850,1966184982,-673076215,-93395807,89856
-1157291278,1756079736,-2025658614,257246991,-966060064,-774002276,1727058750,2097397951,89857
92743594,-1915023861,630767149,1247122318,-916455812,656470766,1628199124,-1562918570,89858
-1567852682,769132115,-1479046433,1274053745,1355799675,625636515,-1125794757,1633520456,89859
-1748631647,1793541217,1239343185,336333238,517635170,-479112435,-1697506937,-176726554,89860
1467930011,-410617069,-1081060992,1708496484,-807998028,-1560903146,1178194003,1410181067,89861
788050098,793668849,50533804,-57987565,297489271,1170972320,-953881754,-2076742071,89862
-1006886981,-1519375013,-168478001,-318466275,-1637475770,-449027255,224526215,-966129989,89863
-1276221728,-945852475,162348899,2147236806,-519645760,-1029246903,461349930,-843077971,89864
1618947759,-1202212956,-1104275161,918176066,-1442220323,313706212,1660927640,-2050779830,89865
-548252595,1334898411,1188370927,-774261517,-180221154,-1328313739,-490242811,1666866673,89866
-56872026,1786707509,101781628,1745689565,-532832629,-907530918,974831025,-1573734907,89867
1964553883,439539255,-421086703,-1831778011,247101615,-2012560619,1142349289,-538351043,89868
1082386775,1959125415,-320882529,1893506908,1213037646,1350080338,741102205,-133885734,89869
-166283881,-1640625658,-1022917249,2129229906,227802755,-488640155,77005760,162875745,89870
-2109991190,-305915212,-2070237000,1503984970,-330218578,1187354343,-1580729029,1528609185,89871
-2071943744,-509059406,-686465029,1689632069,-1557334282,-432515442,-501481034,878797422,89872
1337624877,1909184510,-70240888,-284797741,-1324592109,1826023645,1675404674,1668309700,89873
-1605674875,250260621,924065769,1032212609,-1337643738,1727658209,-614399949,526309924,89874
-1236889003,-991121689,1879009569,-1871618800,162702763,1976466397,-1694651226,1951217204,89875
