C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
115,21506381,608968580,8,150902119,750892,851529209,323663428
116,996528938,961301969,16,94453205,840399,432434410,755565989
117,218165480,29827774,24,462223242,395083,342224351,352891471
118,257388504,373304848,18,196389600,358237,496218343,641254839
119,838371707,807985566,7,373126718,393035,342224351,19611892
120,485673883,698948929,12,927043439,36375,145169404,508620862
121,289639984,416840742,17,610798938,642832,432434410,567828741
122,34372125,939784398,3,908829307,786546,851529209,132746501
123,7979041,516861058,5,527800911,589783,432434410,31580413
124,286407324,1043308745,18,763460048,184249,496218343,846955144
125,589273852,1063458878,19,422360717,-23412,342224351,144076991
126,746009040,778854457,22,979468993,100139,851529209,65418058
127,136312014,558489563,21,129998214,928070,145169404,584447082
128,1031806265,293910080,4,1039645903,-98696,851529209,261493139
129,655017662,659562040,7,46806257,912727,851529209,149181831
130,366336085,844464211,9,879536218,507358,851529209,357705363
131,117753762,262858702,11,348134773,859553,851529209,152182169
132,39927681,99332569,4,544918113,16257,851529209,302953371
133,620124358,451447871,17,102119110,231467,496218343,456287129
134,99873648,465925969,11,60210500,460889,432434410,67909831
135,730320653,88087102,19,283480393,873291,342224351,900777700
136,953864312,415732796,7,234605423,-84239,342224351,1034249575
137,109727860,463804362,16,826040904,783830,851529209,177800749
138,65891071,309293861,5,1006057438,43059,145169404,688983169
139,730440217,77283472,9,381719281,789778,145169404,924570946
140,809592683,828559279,4,782373814,996315,145169404,198578689
141,1047128775,121669664,1,806507589,670614,342224351,500309226
142,871574984,967703429,9,123382251,220981,496218343,874015638
143,1011509610,1023134796,16,514208896,218650,145169404,37187082
144,1020154126,39612213,1,1020806057,641731,145169404,282115012
145,1061367867,735058912,13,647392026,974893,851529209,892535693
146,304841264,533391462,3,768780140,332868,342224351,739471254
147,445767414,440618101,18,34469723,807140,496218343,707725030
148,695237970,617611267,11,40849151,213560,851529209,467629447
149,818071249,402952922,19,453337372,895965,496218343,406765398
150,1046053816,434671026,18,970309953,384948,145169404,528498719
151,1048073910,416219698,19,466982905,518702,851529209,933323620
152,734141422,59060855,8,617285804,121518,432434410,292896811
153,628476281,168852663,6,447163814,545426,851529209,424237480
154,550752180,983657700,19,99860898,469512,342224351,749641164
155,174067044,512930894,0,25082384,590285,496218343,331696383
156,242921568,900866782,9,202666304,930295,496218343,818563470
157,412836516,588579558,15,337003821,976873,432434410,982094224
158,483512099,367924932,10,949166398,616095,496218343,774926207
159,922278932,41534005,10,675540188,206006,851529209,403124588
160,295704499,300913743,13,537672799,436317,145169404,754735200
161,673829505,153091753,7,225944365,371406,145169404,850989254
162,818801471,868551149,8,866054649,626899,145169404,792477029
163,824715740,341666101,21,160432628,294861,342224351,614441859
164,1052643780,835159970,4,361625168,20845,851529209,703511028
165,773250374,1032779396,0,1009788373,334992,851529209,593413427
166,897829723,648555183,10,522128147,204221,342224351,375462379
167,810103878,45935790,5,762387906,146809,496218343,112730848
168,78734876,704245257,12,761164625,-80856,342224351,1044330658
169,213872739,638766211,18,933810190,448383,342224351,625168908
170,709922071,887913163,15,1027684640,768789,432434410,275983843
171,45853042,441304806,7,232260825,237991,145169404,685056822
172,494933667,139497014,22,920266642,113440,145169404,22246284
173,615474976,58286773,9,627613924,84584,432434410,727779642
174,217462493,194101931,23,715207325,194473,342224351,987344256
175,849810767,330157217,10,155379420,197535,342224351,385818872
176,382123554,407133529,13,1037313397,-37576,342224351,326630341
177,853283514,764217294,1,363114302,745750,432434410,358019223
178,165355215,560987720,21,55073995,227250,342224351,741599537
179,612898535,284197038,4,608508264,-4308,145169404,913195535
180,372255364,165392277,13,935401587,-9258,342224351,234179192
181,39881344,290616275,9,687717238,392996,342224351,577439909
182,142135454,137672297,3,60941110,481022,496218343,354675624
183,972515490,566973793,22,491259221,441989,851529209,74419821
184,327258897,762065157,21,921781144,17046,496218343,891903655
185,384093807,162614694,5,760808055,278876,432434410,50810000
186,593274655,629010947,3,881724099,873750,851529209,943159380
187,665795280,809965438,4,137441791,-77422,342224351,203291559
188,192295836,276593316,5,369011242,953337,432434410,659048010
189,623204257,176632823,22,133011402,-59404,145169404,668619251
190,803436584,176653422,11,641411280,165746,496218343,302954973
191,250191508,785418917,16,513261442,294516,432434410,834625529
192,668502176,797140657,10,952777950,823995,145169404,754488544
193,10252829,184227417,23,547219466,802455,145169404,686731824
194,49984964,295870904,16,310092927,669649,851529209,31359349
195,556712056,801647110,22,197302260,487391,496218343,399649669
196,181413212,910320536,18,85015902,776033,342224351,508347431
197,242019870,18167096,1,809055956,986021,496218343,335454488
198,800275140,5811856,1,413108205,382476,496218343,48960956
199,876517937,511528974,4,556094905,765431,342224351,283072794
200,290309916,1036876861,16,65585753,996760,432434410,826779415
201,1028369530,956046892,2,189904142,461439,145169404,743738811
202,808389546,137629198,7,542907007,223764,496218343,64356161
203,581200182,975128143,1,676285269,796063,145169404,153633617
204,755035954,471803342,6,260536406,-62776,432434410,378473127
205,295113365,325907274,12,833699703,716152,432434410,1041571592
206,407775885,406208832,9,905170704,-27479,496218343,130442911
207,248562025,269657876,21,838769514,-43998,496218343,734358894
208,226533626,154650915,19,54519638,623989,145169404,75597284
209,808728724,233080354,16,372868373,887345,342224351,852950821
210,106665563,476377784,20,533914961,725014,851529209,453595442
211,425758033,96087765,13,345202512,419872,432434410,638820819
212,460810148,540347907,7,804273321,95758,432434410,265396654
213,20034194,214348809,24,989161197,998770,851529209,248283471
214,341691856,809235598,8,861420990,152659,145169404,421233259
215,64588120,235723776,9,1028935732,337920,342224351,598540827
216,92592210,1034825748,21,244125314,-77608,342224351,364641343
217,474270968,271761343,23,1004951794,37833,496218343,910201342
218,696046043,56877543,4,603495623,954119,145169404,192638567
219,1003961125,797006908,11,733367525,985857,496218343,4329826
220,666173922,237197619,16,455655332,913164,432434410,155736574
221,287592240,590391532,16,271587461,160939,432434410,134323321
222,763427604,83546881,1,1026706289,889376,432434410,319702855
223,759113852,434659248,20,938646646,747620,432434410,920336349
224,81670128,612794311,15,91615297,846515,432434410,474645683
225,369495714,349334323,13,199554616,889320,496218343,647480500
226,586378692,858521635,3,620704431,900861,496218343,925436669
227,524689232,702369173,13,500051875,180823,145169404,807269987
228,583587160,286080232,20,258258891,686812,342224351,880917427
229,569215221,304710751,1,797595858,756807,432434410,944687200
230,342608115,463729568,21,624653209,168283,145169404,947825251
231,652406293,397307741,10,661292813,28355,432434410,700644266
232,999947675,436683469,22,840412427,55471,851529209,21928821
233,205357688,812229783,3,953370919,399824,342224351,216085836
234,532803584,541089874,18,422477919,838351,496218343,161267965
235,324114673,972348594,3,301649404,75441,496218343,926786549
236,161854895,800439470,14,203652452,538459,496218343,457414351
237,643069965,733093088,19,300446487,-16002,851529209,12988348
238,368853313,657702923,16,136539014,348232,851529209,647426172
239,885944540,474842073,9,1030815401,539877,342224351,544816821
240,366246686,349232371,9,1005267717,713968,145169404,814992351
241,560680424,1070388014,9,392642558,656934,496218343,502814057
242,60071529,685119642,3,206570949,197541,145169404,836146417
243,845304008,854313408,7,466414981,62073,496218343,257682724
244,446190905,1061994600,15,18866181,250638,851529209,568099368
245,391547274,955444681,12,494790269,372015,145169404,251448188
246,78299856,649011228,15,193163705,958495,496218343,770160230
247,754054357,673532745,20,268657368,849592,851529209,232866667
248,381406645,48898332,10,955133484,890835,342224351,579362204
249,481242830,1072617253,3,543994287,-23401,145169404,7837792
250,144436925,345721447,16,577824058,286997,342224351,331977123
251,729588571,108393862,13,1043775807,958532,851529209,652152836
252,110394830,901562758,16,976834602,356174,342224351,876800947
253,863822533,762142936,15,196480270,913952,496218343,866566035
254,681288699,338036282,1,838354361,191535,145169404,141137336
255,561951013,573445255,3,59469619,319607,432434410,277264452
256,2952144,818356421,10,750034119,129992,851529209,506044274
257,384275513,91010114,7,262588655,-33985,496218343,426617505
258,300519832,78204977,12,1015423608,602227,145169404,3177414
259,837216967,173559143,5,284013704,333529,851529209,469446406
260,764613080,437689199,1,850580502,919611,145169404,12151883
261,54984058,1061679943,12,890527322,709422,496218343,826597387
262,725638281,956859245,4,581764259,156180,496218343,657350673
263,905274285,400988896,1,288261339,116203,342224351,1063794419
264,308295191,256531109,11,88772718,319583,145169404,397361113
265,739742566,453937593,17,310064822,827579,145169404,1065393617
266,364717965,710511669,0,253045230,548100,851529209,1012613402
267,941359418,254348682,15,246813252,316694,496218343,640340756
268,89903434,110575631,3,455078241,682101,145169404,283552439
269,403450331,493785194,14,726326754,766735,145169404,197539992
270,314790160,154139305,7,677292654,919250,496218343,630192071
271,76683081,712255568,6,891003101,149035,145169404,571984989
272,63726840,710755854,2,62463947,-74603,145169404,1056473025
273,126602202,427573009,2,416545893,-67505,342224351,841262843
274,884121594,128548634,19,550706356,442542,342224351,269252694
275,163917976,843974117,22,160653373,506731,496218343,196502002
276,416571786,230878799,16,1069098015,229267,496218343,118468871
277,116610913,384325687,23,337768579,887610,432434410,355600279
278,648796668,63842309,20,503819338,762156,432434410,140397763
279,703805805,579127588,9,62511864,966323,496218343,1014594134
280,946207193,607067963,11,135280206,395284,432434410,15337567
281,652227438,831478764,6,485989044,436170,432434410,117604362
282,384556698,844946582,18,649739439,112545,851529209,138862078
283,577197162,286704729,7,173413512,445003,496218343,725687441
284,65091368,298533573,6,465541898,59352,496218343,847390274
285,568920771,975055807,20,671498408,727672,342224351,665252894
286,348693763,455431725,22,62274819,-10973,851529209,593915931
287,757310736,613822863,4,459996750,173418,145169404,442953221
288,544592695,32145732,2,933010492,533943,851529209,886712163
289,970291242,490726462,10,296704545,-21575,496218343,297815234
290,928578234,856829397,4,421333040,181135,145169404,617455409
291,134136544,7571837,8,747495761,426168,851529209,507628669
292,784762484,972818272,11,603047726,297543,851529209,118125954
293,621657714,671131887,2,596947048,-4379,145169404,47981827
294,104264576,986987359,18,128062717,-99479,432434410,249662440
295,554816237,795140092,0,943087980,949789,851529209,793761558
296,387497674,537866568,15,174479357,808152,432434410,184080620
297,469367296,1373669,15,808079939,709632,851529209,267474678
298,811380581,467041801,21,728117618,381284,432434410,756584827
299,567833984,361920795,4,125707941,538050,851529209,565109540
300,353870291,792039276,7,1046260790,808492,496218343,835277430
301,811077399,270876038,7,525103597,930504,851529209,1048411341
302,852620488,575178050,4,770561792,110742,145169404,468680218
303,725767517,36734198,3,767961503,933957,496218343,243835616
304,917446589,357051788,0,811350724,921754,145169404,197474557
305,832162613,376469403,11,1003765027,435659,342224351,604392198
306,442086376,232772696,10,842346241,326801,496218343,330224125
307,998098301,588352526,13,510585150,34659,342224351,494744908
308,494580530,927199219,9,722595775,415076,851529209,473174531
309,727971788,210493458,21,119726,882478,342224351,960256643
310,537781837,81784361,1,1020671486,318657,342224351,160611244
311,64927911,945148016,23,491142650,658950,496218343,211650659
312,680884385,162361438,6,336496699,-17884,496218343,678866113
313,738629997,253756866,0,118805681,611581,851529209,99636522
314,465320700,111408091,13,177967233,239492,145169404,86857819
315,198775786,406169535,7,344051072,34858,342224351,150400606
316,692450845,630929785,8,838970542,457178,145169404,813582467
317,467293378,577515965,19,393995180,95688,851529209,1014303024
318,6910072,285827676,0,66298837,914998,851529209,459154021
319,668701028,784187596,6,349717942,183436,342224351,723271524
320,1026389012,722790255,12,428094702,608274,145169404,821418187
321,674233968,845032899,20,805298088,771877,342224351,702948062
322,710028098,616198836,20,569109061,448997,851529209,220527014
323,733446950,737041889,18,1036891600,113767,496218343,213315431
324,377401547,723179719,2,930835975,80659,342224351,834907269
325,475556546,1011213727,15,701585619,237734,851529209,160785356
326,1053104946,232763379,2,133110441,190652,851529209,117687252
327,933766184,304292551,8,859538447,876216,145169404,758825224
328,864235374,444431795,5,393601480,670990,432434410,338824283
329,104425671,376461244,11,480106087,-65191,432434410,207518580
330,557629047,892946443,20,110535790,824473,145169404,871426020
331,200806862,828531088,5,194185862,17027,496218343,195509251
332,574297615,1041389059,22,857014333,-26708,851529209,850039845
333,552366427,86378497,11,275978177,801889,496218343,982780322
334,779365136,180754783,4,666910469,-40591,432434410,376030162
335,414088555,139543328,21,90832816,683746,851529209,304395214
336,904534716,609525651,2,282309112,924149,496218343,465611160
337,708089051,1072999836,0,969527809,-27058,145169404,621547026
338,972269078,230526708,23,529604082,409249,342224351,722725950
339,150967241,692737681,24,372794903,843807,851529209,200323776
340,622362823,1041352926,2,143108846,466712,432434410,1010540408
341,540663864,247136375,9,168242109,824711,342224351,995638257
342,305310330,416055278,18,396586795,718674,496218343,191236307
343,857223253,999961499,3,409851614,552136,851529209,181154136
344,994566013,741932716,2,225766629,-54495,342224351,39575175
345,563011709,240416306,9,628674317,193677,496218343,36472571
346,789019926,677393848,2,528241371,23814,342224351,738011909
347,213827648,435951295,1,1007164104,734892,432434410,851392903
348,972062969,873087701,13,818563241,331049,851529209,108849069
349,815654753,541900423,23,827239976,-56535,432434410,68757050
350,1014071426,1044448937,15,132027602,1930,432434410,467636164
351,673913651,883288484,7,24231688,341954,496218343,726980072
352,774039321,443819664,9,1045032418,625788,851529209,247257672
353,99723107,752148935,10,112571508,319903,432434410,1052783878
354,4118000,306742323,2,355054583,709595,432434410,626438022
355,191917421,240533557,14,490804025,872790,342224351,725593716
356,695014618,555733422,10,178802268,293406,342224351,881157999
357,944397005,201598092,18,874482464,874736,496218343,1022570673
358,432813755,679953767,5,200525894,-4466,145169404,581219482
359,930475973,829142846,14,524235170,637523,342224351,232177594
360,177136447,735319656,17,893922139,654283,342224351,996347636
361,360055128,836221820,20,158681341,745184,432434410,303501865
362,722789606,988307882,17,407777794,614901,496218343,306077378
363,823104154,318163908,17,101482637,-57386,851529209,983579558
364,163052531,171664318,23,269683047,3224,851529209,19686590
365,49884413,831334019,24,949650499,73703,851529209,726269202
366,744537283,536598327,3,577084679,-72974,145169404,23147958
367,255875874,744967677,13,60283777,910865,851529209,363375167
368,617049090,915031186,22,166249687,8472,145169404,453516104
369,629603416,893178767,8,421552318,288106,342224351,718461298
370,342699939,1024874608,12,978402924,898279,342224351,867732170
371,716066175,784646853,22,770323752,778914,496218343,5237422
372,49502023,572131214,19,304277823,-92191,145169404,949911728
373,1037993911,111605324,20,332899786,235406,145169404,80101991
374,923487894,1044842468,22,527678015,671878,496218343,154731078
375,216625629,533774424,15,763488829,556222,851529209,692928658
376,748403379,407663442,16,124488327,423145,496218343,811262803
377,145115716,858948743,23,750537332,104372,145169404,506891667
378,102842881,851079525,22,338465880,571805,432434410,924968613
379,738337242,403563628,7,745260702,534811,496218343,294994438
380,468336979,702395145,21,905576147,275546,432434410,264605209
381,259936341,836656339,5,1038135497,993170,432434410,275308285
382,37503234,326269075,8,49576139,626942,496218343,883339931
383,170359447,193719030,2,402181454,-84944,145169404,511078501
384,450876386,135747831,9,742317128,-61429,851529209,89747645
385,406146908,716666177,3,580657761,245709,496218343,1047270783
386,107644513,824347444,24,1055651958,23201,432434410,632713813
387,729794815,540172700,18,695291201,340423,851529209,401987453
388,925856911,795628467,7,932055050,193805,851529209,604414192
389,520542737,760243566,9,1033798537,-30761,496218343,601728423
390,449108464,23017112,4,838008207,886218,851529209,167090028
391,202094256,552056936,11,498040469,480130,851529209,692246065
392,734052139,980737521,17,360219747,849233,432434410,1051211667
393,972016086,232421434,20,376156826,359357,342224351,532111370
394,734270040,480868939,23,989359291,520096,145169404,891711
395,993681381,144243338,15,93233905,458228,851529209,38616977
396,1041419146,927619575,22,754866890,143350,432434410,470096056
397,113733817,395651172,7,376568530,70946,342224351,506540257
398,244715929,170646144,15,86378759,886561,851529209,668973237
399,132661959,750224926,8,333629865,735853,432434410,108341065
400,479502967,1020457216,14,224276279,-9846,432434410,767494602
401,943072364,751937184,19,77584676,414643,432434410,961806325
402,547965959,944372523,6,922312992,210667,496218343,115236372
403,286422048,589115004,14,658904646,669336,851529209,328827624
404,573160205,19965820,22,326506731,740873,432434410,158621938
405,988945980,244629930,10,216379296,751914,145169404,469279338
406,113993708,529833022,9,171438938,428693,342224351,968529800
407,886377169,227947744,1,610072900,953708,145169404,606314022
408,936683055,349040079,10,276865202,682537,432434410,88809167
409,576694731,817186836,11,497543318,396986,342224351,756054420
410,879585427,1010389903,7,140563083,434927,432434410,1064587718
411,17120738,1043516281,18,39398896,120932,851529209,1044259047
412,824700070,877927535,22,1026407681,604402,432434410,448636497
413,562277957,613322389,6,885790280,581790,342224351,169895678
414,610756548,33516555,19,250399529,52778,496218343,692442614
415,604862909,786608429,23,480859323,231792,342224351,541490294
416,554791795,438743356,12,848066383,436528,145169404,735253838
417,706765605,114889750,11,205803475,618773,432434410,979207166
418,777512511,407080708,5,471786781,121139,342224351,182023960
419,456187175,929902106,16,672560002,778669,432434410,612804560
420,646706193,478738892,20,561576902,199935,432434410,642356695
421,284270945,96724556,13,537776451,707317,342224351,639081585
422,794433744,232184668,9,758559722,-27214,851529209,784804128
423,471037465,857077773,13,19579135,9579,432434410,728668949
424,750922204,466100274,19,712537078,186642,851529209,268630984
425,709758349,440218659,16,6579230,582488,851529209,95501179
426,358005608,760141052,19,470793171,781825,851529209,435898664
427,934988445,1030552171,2,378934868,437680,145169404,1071609211
428,271965503,698711915,21,360357089,195236,432434410,422998200
429,443563699,493427510,15,857066923,924720,342224351,924394047
430,508296415,395841446,3,614837651,790517,432434410,686097110
431,693580433,955641008,6,137232906,227350,851529209,1005557958
432,38238079,585931048,23,489866995,571564,432434410,304653119
433,381875663,866017098,20,745282639,874623,342224351,912016567
434,161975071,537317029,3,627278985,294046,145169404,509054578
435,300927121,68769108,2,776012239,621746,145169404,829681685
436,568762716,356836958,19,838766754,589687,342224351,3840067
437,1040433703,1023702093,4,700601989,776052,496218343,261294315
438,645827387,1039653508,23,938801634,213113,145169404,1019429706
439,524913977,385127326,14,1057674842,-6129,432434410,126450602
440,353126152,280782517,3,594180901,180904,145169404,479415578
441,484450675,931870175,23,133272782,945184,851529209,283081733
442,681646881,9198769,1,436766472,415700,342224351,452685201
443,290845010,1036290169,3,225731865,372622,342224351,238219894
444,239009834,95994041,1,500238192,150527,851529209,264626181
445,97163880,31564496,20,968331728,801881,342224351,861111813
446,1054131907,165219950,24,309471934,922560,342224351,534792485
447,293664554,446164650,3,1000316852,766598,851529209,960131407
448,808252386,875409473,24,351955168,811727,432434410,94527646
449,358519320,232434140,4,861120684,300194,145169404,960544025
450,669681128,586180412,9,278958476,554442,851529209,952712498
451,662995816,415654651,20,965425270,211059,851529209,717057709
452,220911134,733214447,6,242019238,663370,432434410,632347519
453,558267596,971877240,8,944840202,567818,851529209,904245416
454,858013231,708593288,7,857279720,613440,496218343,191732292
455,767800351,419178280,6,670872536,686034,432434410,203690399
456,991814402,251779782,0,333876797,881578,342224351,79530757
457,363381652,833228928,20,337029009,586761,342224351,445048601
458,1020075990,1002376109,4,728806740,-3842,432434410,299541904
459,486947243,549213088,6,911000567,120797,145169404,1061538990
460,109718845,165488343,11,671998361,522283,342224351,182977618
461,740210050,386875282,21,286425354,917762,496218343,101293582
462,379478496,94368532,21,135110265,452260,851529209,429405827
463,996963999,335981264,8,337917919,-65450,851529209,405988695
464,1003777673,584279467,9,732077372,873085,496218343,446902925
465,987854251,963370374,2,498105123,843274,342224351,521977489
466,524680275,801836500,12,301264805,316841,145169404,151891327
467,667332618,768873614,11,507991626,939851,145169404,646121156
468,359764776,440142029,10,127887674,983419,342224351,423126271
469,18468997,614149778,12,863217849,634364,432434410,1021233874
470,100103348,890726159,20,1062034018,359753,851529209,44679071
471,746828198,292868028,4,952862361,571690,342224351,627414918
472,267819532,32574444,12,244999647,792990,145169404,101638121
473,453813830,2895274,9,918554628,-20222,851529209,186583033
474,1005974232,179038206,21,837077543,916546,145169404,5691041
475,104878576,486896148,14,587423672,904354,432434410,959504651
476,1015727069,690981335,2,1015336675,597310,432434410,31761143
477,676830075,521734824,23,347787058,183661,496218343,987183797
478,16209483,155631950,1,108973155,-21040,432434410,976065607
479,1068451784,38586674,18,721953925,365364,496218343,319517696
480,371842700,121385601,7,858292218,275071,342224351,650938479
481,657881694,427522686,21,409002687,715721,342224351,430927360
482,94867580,580370151,13,127502621,433337,851529209,702316951
483,866622847,242337723,11,209803364,887720,145169404,360125281
484,54677766,242410961,20,477363159,424500,432434410,140396371
485,418803622,483830625,19,939119957,869545,145169404,703215178
486,924349322,490156577,21,794959271,748740,496218343,727475379
487,711414689,327391147,2,480367099,974937,496218343,982451314
488,364636355,117069139,3,54878315,-27558,496218343,543991412
489,540440848,684271410,4,665081634,825583,496218343,416305754
490,24091971,413010048,22,666321915,-21385,342224351,469744754
491,921380108,958673440,0,226513958,78537,496218343,387633837
492,882423622,136774233,8,523936739,863518,496218343,5807867
493,517317422,76467910,16,962951265,658204,145169404,948789228
494,522288907,77432128,10,613576590,629547,342224351,189988472
495,425708274,1054502812,7,444326448,799781,432434410,336173127
496,436339556,971630397,12,1037057862,817482,145169404,729451975
497,1049654513,798823545,23,938105255,219159,432434410,267938571
498,217859985,405835816,19,989012946,394564,432434410,717708422
499,207248028,119909264,14,716919740,429376,851529209,771653377
500,185804088,566286773,4,947488975,330082,496218343,328184341
501,851347096,923102170,13,150883914,190935,342224351,876776696
502,207456254,114869088,11,272145794,137867,851529209,928877511
503,581030059,864035278,20,998327114,321366,145169404,825618682
504,721783254,607167429,10,177224875,51,342224351,301066604
505,586389688,801355815,2,755488339,655751,851529209,730373857
506,310070461,236668393,13,718675648,117984,851529209,1025304782
