C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
67,285920503,471608704,9,357303848,816659,797027742,382762694,33,67,330563436,9979876,34267,1030545334,778902010,0,753909933,33,61,8,2,3200,3075392,2,5,449642453,330563436,34310,34336,34329,785149710,431484053,317922828
67,285920503,471608704,9,357303848,816659,797027742,382762694,33,67,330563436,9979876,34267,1030545334,778902010,0,753909933,33,138,4,3,500,519064,5,3,449642453,330563436,34310,34326,34324,862871618,365042431,259650566
67,285920503,471608704,9,357303848,816659,797027742,382762694,33,67,330563436,9979876,34267,1030545334,778902010,0,753909933,33,34,5,4,4100,3829523,9,0,378580043,330563436,34280,34356,34282,862871618,431484053,189448015
62,999688094,849677021,7,623473329,59561,797027742,173223375,34,62,777177650,4167001,35995,1030545334,72443662,0,1047724639,34,89,10,1,1300,1285804,0,7,146356532,777177650,36089,36050,36103,106211174,1001693018,220807792
62,999688094,849677021,7,623473329,59561,797027742,173223375,34,62,777177650,4167001,35995,1030545334,72443662,0,1047724639,34,90,1,2,2200,2178198,8,6,146356532,777177650,36075,36082,36078,106211174,944913022,540222094
62,999688094,849677021,7,623473329,59561,797027742,173223375,34,62,777177650,4167001,35995,1030545334,72443662,0,1047724639,34,170,7,3,600,642102,2,6,146356532,777177650,36096,36056,36102,106211174,944913022,870401728
128,555712430,433348378,4,101299905,-98696,750198692,741315734,35,128,777177650,14878951,34993,483467692,91904518,0,603755156,35,1,4,1,2400,2162400,2,0,146356532,777177650,35114,35065,35140,862871618,944913022,45197442
128,555712430,433348378,4,101299905,-98696,750198692,741315734,35,128,777177650,14878951,34993,483467692,91904518,0,603755156,35,162,1,2,3400,3611344,6,8,146356532,777177650,35084,35068,35089,749443834,250142940,877056004
128,555712430,433348378,4,101299905,-98696,750198692,741315734,35,128,777177650,14878951,34993,483467692,91904518,0,603755156,35,121,4,3,700,714784,6,4,146356532,777177650,35081,35053,35091,106211174,431484053,719996289
128,555712430,433348378,4,101299905,-98696,750198692,741315734,35,128,777177650,14878951,34993,483467692,91904518,0,603755156,35,86,7,4,2500,2465200,6,5,146356532,777177650,35027,35056,35052,749443834,407419891,362911748
128,555712430,433348378,4,101299905,-98696,750198692,741315734,35,128,777177650,14878951,34993,483467692,91904518,0,603755156,35,120,7,5,3400,3468408,8,6,146356532,777177650,35009,35077,35027,785149710,431484053,239571949
128,555712430,433348378,4,101299905,-98696,750198692,741315734,35,128,777177650,14878951,34993,483467692,91904518,0,603755156,35,31,7,6,2800,2606884,3,2,146356532,777177650,35094,35055,35121,785149710,250142940,493489460
116,298634164,338973376,16,415140788,840399,1028181460,976257529,36,116,777177650,3898898,35004,382018914,1007903575,0,334865152,36,120,1,1,4200,4284504,9,0,146356532,777177650,35096,35083,35116,785149710,407419891,972245779
88,953471690,697688042,16,79260142,803144,701940545,482661569,37,88,330563436,11370189,33756,1030545334,164117170,0,17088411,37,23,8,1,4000,3692080,9,3,449642453,330563436,33804,33815,33829,106211174,1001693018,606914632
88,953471690,697688042,16,79260142,803144,701940545,482661569,37,88,330563436,11370189,33756,1030545334,164117170,0,17088411,37,127,6,2,3900,4005768,5,2,449642453,330563436,33785,33832,33811,862871618,250142940,132205644
88,953471690,697688042,16,79260142,803144,701940545,482661569,37,88,330563436,11370189,33756,1030545334,164117170,0,17088411,37,13,7,3,4300,3925943,5,8,449642453,330563436,33793,33789,33816,749443834,86983390,1037140671
125,92991123,67914840,19,355422631,-23412,373412815,525899414,38,125,777177650,4636656,35296,483467692,355844317,0,809443243,38,176,5,1,4400,4735148,4,2,146356532,777177650,35335,35384,35336,785149710,431484053,195783623
82,440993154,631703077,18,458835108,946834,701940545,542870798,39,82,777177650,21970784,35326,1030545334,143047463,0,793228340,39,3,10,1,4400,3973200,9,6,146356532,777177650,35381,35412,35409,785149710,250142940,131106644
82,440993154,631703077,18,458835108,946834,701940545,542870798,39,82,777177650,21970784,35326,1030545334,143047463,0,793228340,39,187,8,2,2600,2826668,8,4,146356532,777177650,35371,35356,35387,106211174,944913022,598440024
82,440993154,631703077,18,458835108,946834,701940545,542870798,39,82,777177650,21970784,35326,1030545334,143047463,0,793228340,39,68,3,3,4600,4453076,6,8,146356532,777177650,35332,35416,35362,749443834,365042431,758123178
82,440993154,631703077,18,458835108,946834,701940545,542870798,39,82,777177650,21970784,35326,1030545334,143047463,0,793228340,39,21,6,4,3200,2947264,7,5,146356532,777177650,35338,35416,35350,785149710,431484053,246989535
82,440993154,631703077,18,458835108,946834,701940545,542870798,39,82,777177650,21970784,35326,1030545334,143047463,0,793228340,39,55,10,5,4300,4106715,1,1,146356532,777177650,35353,35381,35362,785149710,431484053,379762846
82,440993154,631703077,18,458835108,946834,701940545,542870798,39,82,777177650,21970784,35326,1030545334,143047463,0,793228340,39,95,7,6,4000,3980360,6,5,146356532,777177650,35405,35358,35429,785149710,365042431,733294125
34,3104980,1067983329,15,829251106,858970,750198692,421313236,64,34,330563436,2006573,34529,1030545334,922396659,0,508787695,64,86,7,1,2100,2070768,5,2,378580043,330563436,34605,34593,34631,749443834,1001693018,823687685
17,853716144,712467323,2,75361592,634,701940545,767189068,65,17,836745293,6588392,34774,382018914,996291866,0,615303509,65,60,5,1,2600,2496156,3,3,449642453,330563436,34807,34812,34830,106211174,86983390,856996827
17,853716144,712467323,2,75361592,634,701940545,767189068,65,17,836745293,6588392,34774,382018914,996291866,0,615303509,65,74,3,2,2200,2142954,0,5,146356532,777177650,34895,34852,34897,785149710,944913022,661863703
17,853716144,712467323,2,75361592,634,701940545,767189068,65,17,836745293,6588392,34774,382018914,996291866,0,615303509,65,2,5,3,2100,1894200,9,7,146356532,777177650,34884,34831,34909,749443834,250142940,848584724
130,536883096,912234731,9,397315922,507358,750198692,209838537,66,130,330563436,7925824,34352,527479233,695909384,0,339492716,66,116,10,1,3100,3149941,0,8,378580043,330563436,34382,34402,34383,862871618,250142940,968735828
130,536883096,912234731,9,397315922,507358,750198692,209838537,66,130,330563436,7925824,34352,527479233,695909384,0,339492716,66,174,5,2,4100,4404097,4,7,449642453,330563436,34384,34392,34409,785149710,365042431,932542105
58,27550083,786706686,13,655473108,647846,750198692,439669460,67,58,777177650,11622705,35416,483467692,648450825,0,617811337,67,22,5,1,400,368808,9,4,146356532,777177650,35535,35459,35538,106211174,407419891,153229807
58,27550083,786706686,13,655473108,647846,750198692,439669460,67,58,777177650,11622705,35416,483467692,648450825,0,617811337,67,21,10,2,1200,1105224,9,5,146356532,777177650,35455,35480,35481,106211174,1001693018,467774314
58,27550083,786706686,13,655473108,647846,750198692,439669460,67,58,777177650,11622705,35416,483467692,648450825,0,617811337,67,174,4,3,500,537085,3,7,146356532,777177650,35479,35471,35480,749443834,86983390,176555000
58,27550083,786706686,13,655473108,647846,750198692,439669460,67,58,777177650,11622705,35416,483467692,648450825,0,617811337,67,88,9,4,4400,4347552,8,6,146356532,777177650,35505,35457,35531,749443834,250142940,973498191
58,27550083,786706686,13,655473108,647846,750198692,439669460,67,58,777177650,11622705,35416,483467692,648450825,0,617811337,67,41,10,5,2300,2164392,5,7,146356532,777177650,35537,35473,35554,749443834,1001693018,809432268
58,27550083,786706686,13,655473108,647846,750198692,439669460,67,58,777177650,11622705,35416,483467692,648450825,0,617811337,67,179,9,6,2900,3129593,2,5,146356532,777177650,35453,35455,35455,749443834,944913022,341460217
29,183926022,535165640,0,240603373,761827,373412815,666015872,68,29,777177650,21513572,35901,1030545334,98947350,0,365588169,68,8,1,1,300,272400,5,2,146356532,777177650,35978,35949,35995,106211174,250142940,275482081
29,183926022,535165640,0,240603373,761827,373412815,666015872,68,29,777177650,21513572,35901,1030545334,98947350,0,365588169,68,176,4,2,4600,4950382,2,5,146356532,777177650,35970,35951,35979,106211174,431484053,923693217
29,183926022,535165640,0,240603373,761827,373412815,666015872,68,29,777177650,21513572,35901,1030545334,98947350,0,365588169,68,35,1,3,4600,4301138,4,5,146356532,777177650,36018,35982,36034,106211174,250142940,576427679
29,183926022,535165640,0,240603373,761827,373412815,666015872,68,29,777177650,21513572,35901,1030545334,98947350,0,365588169,68,95,9,4,2000,1990180,7,1,146356532,777177650,35971,35936,35976,106211174,1001693018,379973405
29,183926022,535165640,0,240603373,761827,373412815,666015872,68,29,777177650,21513572,35901,1030545334,98947350,0,365588169,68,83,4,5,2700,2654316,3,6,146356532,777177650,35963,35969,35973,749443834,407419891,840087308
29,183926022,535165640,0,240603373,761827,373412815,666015872,68,29,777177650,21513572,35901,1030545334,98947350,0,365588169,68,103,6,6,3000,3009300,5,6,146356532,777177650,36016,35985,36019,106211174,250142940,649938203
29,183926022,535165640,0,240603373,761827,373412815,666015872,68,29,777177650,21513572,35901,1030545334,98947350,0,365588169,68,140,6,7,4100,4264574,9,8,146356532,777177650,35968,35971,35980,106211174,407419891,166064493
85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,116,10,1,4800,4877328,1,7,449642453,330563436,34561,34555,34583,106211174,86983390,53740253
85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,105,10,2,3200,3216320,8,6,449642453,330563436,34568,34561,34575,106211174,1001693018,660961569
85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,138,4,3,1700,1764821,9,0,449642453,330563436,34515,34520,34516,862871618,365042431,305525252
85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,38,9,4,300,281409,9,4,378580043,330563436,34489,34540,34498,106211174,431484053,948234142
85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,93,6,5,4200,4170978,7,4,378580043,330563436,34544,34539,34572,749443834,1001693018,207198439
85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,19,3,6,2300,2113723,5,0,449642453,330563436,34608,34550,34629,106211174,407419891,132842238
65,281052985,65225523,23,531840509,879516,701940545,1044095204,70,65,330563436,8465180,34319,527479233,541998956,0,944964242,70,65,2,1,800,772048,3,8,378580043,330563436,34344,34390,34346,862871618,944913022,240160102
65,281052985,65225523,23,531840509,879516,701940545,1044095204,70,65,330563436,8465180,34319,527479233,541998956,0,944964242,70,197,10,2,1300,1426347,6,6,449642453,330563436,34394,34376,34417,785149710,365042431,683835136
65,281052985,65225523,23,531840509,879516,701940545,1044095204,70,65,330563436,8465180,34319,527479233,541998956,0,944964242,70,180,8,3,100,108018,3,5,378580043,330563436,34358,34396,34360,862871618,250142940,926388786
65,281052985,65225523,23,531840509,879516,701940545,1044095204,70,65,330563436,8465180,34319,527479233,541998956,0,944964242,70,46,9,4,1100,1040644,1,5,449642453,330563436,34408,34408,34418,106211174,431484053,577862594
65,281052985,65225523,23,531840509,879516,701940545,1044095204,70,65,330563436,8465180,34319,527479233,541998956,0,944964242,70,38,9,5,3700,3470711,9,4,378580043,330563436,34376,34407,34384,785149710,431484053,23608385
65,281052985,65225523,23,531840509,879516,701940545,1044095204,70,65,330563436,8465180,34319,527479233,541998956,0,944964242,70,56,8,6,1900,1816495,6,3,449642453,330563436,34358,34380,34369,862871618,407419891,224453187
4,700209338,874890667,4,281597839,286683,797027742,287112169,71,4,777177650,17882173,35817,483467692,609159084,0,755497447,71,62,3,1,2500,2405150,9,7,146356532,777177650,35893,35905,35894,785149710,944913022,238879605
4,700209338,874890667,4,281597839,286683,797027742,287112169,71,4,777177650,17882173,35817,483467692,609159084,0,755497447,71,66,1,2,300,289818,9,7,146356532,777177650,35936,35886,35946,785149710,407419891,886597415
4,700209338,874890667,4,281597839,286683,797027742,287112169,71,4,777177650,17882173,35817,483467692,609159084,0,755497447,71,35,1,3,4500,4207635,0,7,146356532,777177650,35847,35872,35876,749443834,407419891,734907157
4,700209338,874890667,4,281597839,286683,797027742,287112169,71,4,777177650,17882173,35817,483467692,609159084,0,755497447,71,97,9,4,3300,3290397,0,1,146356532,777177650,35895,35872,35898,106211174,944913022,250344245
4,700209338,874890667,4,281597839,286683,797027742,287112169,71,4,777177650,17882173,35817,483467692,609159084,0,755497447,71,104,7,5,3900,3915990,8,6,146356532,777177650,35822,35890,35842,749443834,250142940,529808927
4,700209338,874890667,4,281597839,286683,797027742,287112169,71,4,777177650,17882173,35817,483467692,609159084,0,755497447,71,196,9,6,3400,3727046,4,1,146356532,777177650,35857,35905,35882,749443834,86983390,641949235
109,801531451,535507939,16,73678354,-71610,1028181460,749445956,96,109,330563436,5509067,34439,919150108,404866618,0,108795467,96,124,7,1,2300,2355476,10,6,449642453,330563436,34532,34512,34538,749443834,86983390,467813683
109,801531451,535507939,16,73678354,-71610,1028181460,749445956,96,109,330563436,5509067,34439,919150108,404866618,0,108795467,96,136,7,2,3000,3108390,1,6,378580043,330563436,34486,34481,34505,749443834,86983390,21329440
22,135161136,932471490,3,690226169,59198,797027742,421760725,97,22,330563436,6890831,33996,1030545334,648450825,0,348185523,97,120,4,1,1300,1326156,0,2,378580043,330563436,34058,34061,34065,106211174,86983390,642569081
22,135161136,932471490,3,690226169,59198,797027742,421760725,97,22,330563436,6890831,33996,1030545334,648450825,0,348185523,97,50,7,2,3700,3515185,2,6,449642453,330563436,34070,34056,34071,749443834,407419891,974570255
22,135161136,932471490,3,690226169,59198,797027742,421760725,97,22,330563436,6890831,33996,1030545334,648450825,0,348185523,97,78,6,3,1900,1858333,6,8,378580043,330563436,34101,34031,34112,862871618,250142940,1038473290
106,864562228,957626520,1,147772690,328842,797027742,268933212,98,106,330563436,5100444,34600,382018914,870050430,0,1041443412,98,41,2,1,2800,2634912,6,7,449642453,330563436,34690,34630,34713,785149710,1001693018,525658321
106,864562228,957626520,1,147772690,328842,797027742,268933212,98,106,330563436,5100444,34600,382018914,870050430,0,1041443412,98,110,7,2,100,101011,0,0,449642453,330563436,34667,34678,34681,749443834,86983390,981678342
106,864562228,957626520,1,147772690,328842,797027742,268933212,98,106,330563436,5100444,34600,382018914,870050430,0,1041443412,98,45,6,3,1400,1323056,5,2,449642453,330563436,34696,34658,34724,785149710,365042431,563210860
106,864562228,957626520,1,147772690,328842,797027742,268933212,98,106,330563436,5100444,34600,382018914,870050430,0,1041443412,98,168,9,4,1000,1068160,3,3,449642453,330563436,34628,34644,34645,785149710,250142940,503514793
89,468529770,948964647,14,106551305,153076,373412815,1009632679,99,89,330563436,9232679,34404,483467692,1066954898,0,508578232,99,88,9,1,1000,988079,2,1,449642453,330563436,34470,34486,34475,785149710,250142940,453930383
89,468529770,948964647,14,106551305,153076,373412815,1009632679,99,89,330563436,9232679,34404,483467692,1066954898,0,508578232,99,124,5,2,500,512060,2,7,378580043,330563436,34458,34480,34472,862871618,250142940,927920660
89,468529770,948964647,14,106551305,153076,373412815,1009632679,99,89,330563436,9232679,34404,483467692,1066954898,0,508578232,99,135,1,3,4200,4347546,2,2,449642453,330563436,34441,34470,34442,106211174,250142940,977783448
89,468529770,948964647,14,106551305,153076,373412815,1009632679,99,89,330563436,9232679,34404,483467692,1066954898,0,508578232,99,109,2,4,3600,3632760,9,2,449642453,330563436,34517,34439,34543,749443834,365042431,134028994
148,120951395,335387568,11,608291700,213560,750198692,672328102,100,148,777177650,14131101,35852,483467692,294637636,0,575004302,100,63,4,1,2800,2696568,4,5,146356532,777177650,35921,35926,35951,785149710,86983390,837144972
148,120951395,335387568,11,608291700,213560,750198692,672328102,100,148,777177650,14131101,35852,483467692,294637636,0,575004302,100,116,10,2,2200,2235442,0,7,146356532,777177650,35968,35895,35973,749443834,407419891,833611073
148,120951395,335387568,11,608291700,213560,750198692,672328102,100,148,777177650,14131101,35852,483467692,294637636,0,575004302,100,47,4,3,4600,4356384,3,4,146356532,777177650,35915,35893,35935,862871618,407419891,1045398435
148,120951395,335387568,11,608291700,213560,750198692,672328102,100,148,777177650,14131101,35852,483467692,294637636,0,575004302,100,39,10,4,1400,1314642,6,3,146356532,777177650,35935,35914,35947,785149710,431484053,309803000
148,120951395,335387568,11,608291700,213560,750198692,672328102,100,148,777177650,14131101,35852,483467692,294637636,0,575004302,100,54,6,5,3700,3529985,5,0,146356532,777177650,35858,35899,35883,862871618,86983390,669593247
28,1041654592,529526520,8,1042000024,100718,373412815,322356013,101,28,777177650,9559140,35139,1030545334,30009821,0,481705420,101,119,9,1,4900,4993639,10,0,146356532,777177650,35235,35210,35243,749443834,1001693018,328601604
28,1041654592,529526520,8,1042000024,100718,373412815,322356013,101,28,777177650,9559140,35139,1030545334,30009821,0,481705420,101,164,9,2,3600,3830976,0,1,146356532,777177650,35202,35184,35218,749443834,365042431,612843356
28,1041654592,529526520,8,1042000024,100718,373412815,322356013,101,28,777177650,9559140,35139,1030545334,30009821,0,481705420,101,139,5,3,1200,1246956,6,2,146356532,777177650,35151,35173,35165,785149710,431484053,863010232
1,344882864,682453024,15,684099442,71156,1028181460,960303019,102,1,777177650,11395489,35557,919150108,331501688,0,104229044,102,89,10,1,3700,3659596,6,0,146356532,777177650,35633,35642,35647,862871618,407419891,713217198
1,344882864,682453024,15,684099442,71156,1028181460,960303019,102,1,777177650,11395489,35557,919150108,331501688,0,104229044,102,170,5,2,3400,3638578,3,8,146356532,777177650,35649,35637,35666,862871618,407419891,66389849
1,344882864,682453024,15,684099442,71156,1028181460,960303019,102,1,777177650,11395489,35557,919150108,331501688,0,104229044,102,183,4,3,2500,2707950,1,1,146356532,777177650,35640,35633,35657,106211174,250142940,82521107
1,344882864,682453024,15,684099442,71156,1028181460,960303019,102,1,777177650,11395489,35557,919150108,331501688,0,104229044,102,62,7,4,1500,1443090,7,7,146356532,777177650,35581,35622,35583,749443834,407419891,148856520
31,855445084,1027402851,23,969728011,523689,750198692,449809331,103,31,777177650,9556395,35234,483467692,554124614,0,674303139,103,195,9,1,600,657114,3,5,146356532,777177650,35347,35269,35364,106211174,944913022,474926244
31,855445084,1027402851,23,969728011,523689,750198692,449809331,103,31,777177650,9556395,35234,483467692,554124614,0,674303139,103,11,5,2,3700,3370737,2,7,146356532,777177650,35323,35271,35326,862871618,431484053,966363462
31,855445084,1027402851,23,969728011,523689,750198692,449809331,103,31,777177650,9556395,35234,483467692,554124614,0,674303139,103,29,10,3,2300,2136746,1,4,146356532,777177650,35317,35324,35332,106211174,944913022,698774868
31,855445084,1027402851,23,969728011,523689,750198692,449809331,103,31,777177650,9556395,35234,483467692,554124614,0,674303139,103,30,9,4,3200,2976096,1,7,146356532,777177650,35274,35281,35279,106211174,250142940,358416912
74,143931784,785736687,4,167482150,276443,797027742,1043943576,128,74,330563436,3633333,33768,382018914,964379550,0,169291702,128,107,10,1,3800,3826980,6,1,449642453,330563436,33846,33841,33876,862871618,944913022,258087975
73,434465220,889407255,0,853215548,428850,1028181460,61819317,129,73,330563436,18812455,33925,527479233,863713108,0,20412137,129,3,6,1,4600,4153800,8,2,378580043,330563436,34013,33991,34031,785149710,86983390,604844358
73,434465220,889407255,0,853215548,428850,1028181460,61819317,129,73,330563436,18812455,33925,527479233,863713108,0,20412137,129,186,7,2,3600,3910248,1,2,449642453,330563436,33931,33961,33945,862871618,1001693018,147821321
73,434465220,889407255,0,853215548,428850,1028181460,61819317,129,73,330563436,18812455,33925,527479233,863713108,0,20412137,129,40,6,3,3300,3102132,4,6,449642453,330563436,33975,34012,33996,785149710,407419891,467901294
73,434465220,889407255,0,853215548,428850,1028181460,61819317,129,73,330563436,18812455,33925,527479233,863713108,0,20412137,129,136,7,4,3400,3522842,0,1,378580043,330563436,33996,34012,34008,785149710,431484053,271377843
73,434465220,889407255,0,853215548,428850,1028181460,61819317,129,73,330563436,18812455,33925,527479233,863713108,0,20412137,129,32,8,5,2400,2236872,6,0,449642453,330563436,33943,33969,33947,862871618,944913022,137356558
