S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT,N1_N_NATIONKEY,N1_N_NAME,N1_N_REGIONKEY,N1_N_COMMENT,N2_N_NATIONKEY,N2_N_NAME,N2_N_REGIONKEY,N2_N_COMMENT,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,2,566619588,1,19420666,72,910204860,986932639,2,617109098,-36286,373412815,661760609
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,2,566619588,1,19420666,92,45610451,402777091,2,462236563,118291,797027742,79287571
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,2,566619588,1,19420666,101,457706074,107026214,2,552533557,747096,797027742,444283449
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,2,566619588,1,19420666,17,853716144,712467323,2,75361592,634,701940545,767189068
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,2,566619588,1,19420666,39,712625845,744215504,2,406838173,626431,701940545,479922038
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,2,566619588,1,19420666,47,551872894,828308774,2,703241257,27458,1028181460,451844934
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,2,566619588,1,19420666,72,910204860,986932639,2,617109098,-36286,373412815,661760609
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,2,566619588,1,19420666,92,45610451,402777091,2,462236563,118291,797027742,79287571
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,2,566619588,1,19420666,101,457706074,107026214,2,552533557,747096,797027742,444283449
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,5,739067524,173766546,3,806520918,79447,750198692,701892982
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,13,604412387,149744725,3,876397724,385734,1028181460,569481573
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,22,135161136,932471490,3,690226169,59198,797027742,421760725
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,23,121136273,655093846,3,828481406,333202,750198692,582149211
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,27,320613635,391675156,3,219034178,567984,1028181460,361556986
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,40,159190715,789937437,3,112917505,133530,1028181460,48821631
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,64,430468515,792063090,3,375338781,-64664,1028181460,628713057
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,122,923228950,213498536,3,201655413,786546,750198692,246182460
1,792906294,317827973,17,971385163,575594,622797579,17,145165669,1,127423842,3,796895070,1,701286484,146,256599225,514907711,3,1042811684,332868,373412815,1009509991
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,5,739067524,173766546,3,806520918,79447,750198692,701892982
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,13,604412387,149744725,3,876397724,385734,1028181460,569481573
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,22,135161136,932471490,3,690226169,59198,797027742,421760725
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,23,121136273,655093846,3,828481406,333202,750198692,582149211
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,27,320613635,391675156,3,219034178,567984,1028181460,361556986
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,40,159190715,789937437,3,112917505,133530,1028181460,48821631
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,64,430468515,792063090,3,375338781,-64664,1028181460,628713057
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,122,923228950,213498536,3,201655413,786546,750198692,246182460
3,458785,31140224,1,73682198,419239,154263564,1,559044011,1,1004765669,3,796895070,1,701286484,146,256599225,514907711,3,1042811684,332868,373412815,1009509991
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,5,739067524,173766546,3,806520918,79447,750198692,701892982
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,13,604412387,149744725,3,876397724,385734,1028181460,569481573
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,22,135161136,932471490,3,690226169,59198,797027742,421760725
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,23,121136273,655093846,3,828481406,333202,750198692,582149211
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,27,320613635,391675156,3,219034178,567984,1028181460,361556986
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,40,159190715,789937437,3,112917505,133530,1028181460,48821631
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,64,430468515,792063090,3,375338781,-64664,1028181460,628713057
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,122,923228950,213498536,3,201655413,786546,750198692,246182460
8,292608994,956262271,17,801108420,762785,918253410,17,145165669,1,127423842,3,796895070,1,701286484,146,256599225,514907711,3,1042811684,332868,373412815,1009509991
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,5,739067524,173766546,3,806520918,79447,750198692,701892982
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,13,604412387,149744725,3,876397724,385734,1028181460,569481573
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,22,135161136,932471490,3,690226169,59198,797027742,421760725
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,23,121136273,655093846,3,828481406,333202,750198692,582149211
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,27,320613635,391675156,3,219034178,567984,1028181460,361556986
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,40,159190715,789937437,3,112917505,133530,1028181460,48821631
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,64,430468515,792063090,3,375338781,-64664,1028181460,628713057
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,122,923228950,213498536,3,201655413,786546,750198692,246182460
10,327251235,437448823,24,477752411,389191,626155487,24,905006152,1,295815377,3,796895070,1,701286484,146,256599225,514907711,3,1042811684,332868,373412815,1009509991
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,4,715493907,4,1018635571,4,700209338,874890667,4,281597839,286683,797027742,287112169
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,4,715493907,4,1018635571,54,497486718,453593647,4,260814274,86890,701940545,179288707
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,4,715493907,4,1018635571,74,143931784,785736687,4,167482150,276443,797027742,1043943576
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,4,715493907,4,1018635571,128,555712430,433348378,4,101299905,-98696,750198692,741315734
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,4,715493907,4,1018635571,132,549230639,549881957,4,706389192,16257,750198692,681510235
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,4,715493907,4,1018635571,140,1071069893,162594912,4,93375774,996315,797027742,984613515
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,4,715493907,4,1018635571,4,700209338,874890667,4,281597839,286683,797027742,287112169
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,4,715493907,4,1018635571,54,497486718,453593647,4,260814274,86890,701940545,179288707
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,4,715493907,4,1018635571,74,143931784,785736687,4,167482150,276443,797027742,1043943576
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,4,715493907,4,1018635571,128,555712430,433348378,4,101299905,-98696,750198692,741315734
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,4,715493907,4,1018635571,132,549230639,549881957,4,706389192,16257,750198692,681510235
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,4,715493907,4,1018635571,140,1071069893,162594912,4,93375774,996315,797027742,984613515
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,5,529057841,0,890382161,10,798437489,808791061,5,205635831,275354,750198692,908197369
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,5,529057841,0,890382161,42,1066713302,380422618,5,620097372,872701,1028181460,744415601
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,5,529057841,0,890382161,85,1001770604,231357394,5,608676529,338664,373412815,725868244
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,5,529057841,0,890382161,108,603585568,972396567,5,162831275,225938,1028181460,1037047198
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,5,529057841,0,890382161,123,442699600,1039220825,5,363350423,589783,1028181460,685802583
2,549623314,849027485,5,58126162,403268,958596215,5,529057841,0,890382161,5,529057841,0,890382161,138,299133679,842829738,5,506183044,43059,797027742,156113087
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,5,529057841,0,890382161,10,798437489,808791061,5,205635831,275354,750198692,908197369
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,5,529057841,0,890382161,42,1066713302,380422618,5,620097372,872701,1028181460,744415601
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,5,529057841,0,890382161,85,1001770604,231357394,5,608676529,338664,373412815,725868244
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,5,529057841,0,890382161,108,603585568,972396567,5,162831275,225938,1028181460,1037047198
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,5,529057841,0,890382161,123,442699600,1039220825,5,363350423,589783,1028181460,685802583
4,829353804,938198330,15,991041614,464108,693080424,15,962519746,0,265433381,5,529057841,0,890382161,138,299133679,842829738,5,506183044,43059,797027742,156113087
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,5,529057841,0,890382161,10,798437489,808791061,5,205635831,275354,750198692,908197369
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,5,529057841,0,890382161,42,1066713302,380422618,5,620097372,872701,1028181460,744415601
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,5,529057841,0,890382161,85,1001770604,231357394,5,608676529,338664,373412815,725868244
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,5,529057841,0,890382161,108,603585568,972396567,5,162831275,225938,1028181460,1037047198
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,5,529057841,0,890382161,123,442699600,1039220825,5,363350423,589783,1028181460,685802583
6,564123676,816784291,14,177982233,136579,447900922,14,188440933,0,29958364,5,529057841,0,890382161,138,299133679,842829738,5,506183044,43059,797027742,156113087
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,6,12663299,3,816830039,18,870075110,396316190,6,659230560,549443,1028181460,508708764
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,6,12663299,3,816830039,46,1031476016,349807479,6,214799933,574459,701940545,715635951
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,6,12663299,3,816830039,50,58199858,163764680,6,827269550,426613,797027742,92062675
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,7,646155591,3,325145718,62,999688094,849677021,7,623473329,59561,797027742,173223375
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,7,646155591,3,325145718,71,1060271253,211237996,7,834834334,-61119,750198692,126835422
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,7,646155591,3,325145718,93,774994682,467014645,7,357120243,218252,797027742,673015565
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,7,646155591,3,325145718,119,321542827,1059888415,7,655674539,393035,373412815,789490205
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,7,646155591,3,325145718,129,559808477,225088187,7,733452679,912727,750198692,460627987
7,11315813,791810943,23,1051077640,682035,798884201,23,536896580,3,94114815,7,646155591,3,325145718,136,695580638,971474707,7,496917575,-84239,373412815,1725265
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,16,606299054,831166561,10,851711143,468103,373412815,551498780
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,41,548472177,102959959,10,589189525,27095,750198692,81122026
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,49,58080412,277187647,10,223001803,457393,373412815,529457660
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,55,292749220,212078962,10,611195724,457210,797027742,482627384
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,56,1002271304,628821590,10,666136321,653086,373412815,658726857
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,104,133204033,240401202,10,569591890,-58838,373412815,427642554
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,105,546659027,465322969,10,60657945,909182,797027742,749604377
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,10,185743883,4,261867689,110,244010384,14769951,10,551032061,746299,701940545,942200752
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,16,606299054,831166561,10,851711143,468103,373412815,551498780
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,41,548472177,102959959,10,589189525,27095,750198692,81122026
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,49,58080412,277187647,10,223001803,457393,373412815,529457660
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,55,292749220,212078962,10,611195724,457210,797027742,482627384
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,56,1002271304,628821590,10,666136321,653086,373412815,658726857
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,104,133204033,240401202,10,569591890,-58838,373412815,427642554
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,105,546659027,465322969,10,60657945,909182,797027742,749604377
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,10,185743883,4,261867689,110,244010384,14769951,10,551032061,746299,701940545,942200752
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,11,319240162,4,108891028,52,749902188,199806749,11,982273298,563028,750198692,628614943
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,11,319240162,4,108891028,84,600973151,270567321,11,258510769,517471,373412815,1008094998
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,11,319240162,4,108891028,131,177759885,35988995,11,534137668,859553,750198692,317345255
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,11,319240162,4,108891028,134,987180522,314377204,11,814495129,460889,1028181460,724055480
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,11,319240162,4,108891028,148,120951395,335387568,11,608291700,213560,750198692,672328102
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,11,319240162,4,108891028,52,749902188,199806749,11,982273298,563028,750198692,628614943
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,11,319240162,4,108891028,84,600973151,270567321,11,258510769,517471,373412815,1008094998
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,11,319240162,4,108891028,131,177759885,35988995,11,534137668,859553,750198692,317345255
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,11,319240162,4,108891028,134,987180522,314377204,11,814495129,460889,1028181460,724055480
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,11,319240162,4,108891028,148,120951395,335387568,11,608291700,213560,750198692,672328102
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,13,1024595404,4,976014296,2,1015230108,199452367,13,668160866,12165,701940545,684421444
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,13,1024595404,4,976014296,12,688287284,746332737,13,396436186,339649,750198692,1009796263
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,13,1024595404,4,976014296,24,487022382,856899437,13,355053104,925567,797027742,833193189
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,13,1024595404,4,976014296,58,27550083,786706686,13,655473108,647846,750198692,439669460
5,64952534,366176741,11,103869805,-28383,275262022,11,319240162,4,108891028,13,1024595404,4,976014296,145,674386938,90599228,13,551063862,974893,750198692,849587516
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,13,1024595404,4,976014296,2,1015230108,199452367,13,668160866,12165,701940545,684421444
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,13,1024595404,4,976014296,12,688287284,746332737,13,396436186,339649,750198692,1009796263
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,13,1024595404,4,976014296,24,487022382,856899437,13,355053104,925567,797027742,833193189
9,895777001,658451645,10,73320802,530237,726765942,10,185743883,4,261867689,13,1024595404,4,976014296,58,27550083,786706686,13,655473108,647846,750198692,439669460
